Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.
31/08/2022;34.200,00;35.750,00;35.760,00;34.200,00;1,18M;-7,52%
30/08/2022;36.980,00;37.000,00;37.000,00;35.550,00;176,96K;-0,19%
29/08/2022;37.050,00;36.890,00;37.550,00;36.710,00;168,80K;-2,37%
26/08/2022;37.950,00;37.800,00;37.950,00;37.030,00;128,76K;0,40%
25/08/2022;37.800,00;36.450,00;37.970,00;34.000,00;141,41K;3,56%
24/08/2022;36.500,00;37.390,00;37.390,00;35.560,00;87,51K;0,00%
23/08/2022;36.500,00;37.200,00;37.290,00;36.120,00;196,55K;-0,87%
22/08/2022;36.820,00;37.990,00;37.990,00;36.430,00;63,46K;-3,11%
19/08/2022;38.000,00;38.500,00;38.500,00;38.000,00;90,63K;-2,44%
18/08/2022;38.950,00;39.000,00;39.000,00;38.500,00;79,01K;-0,13%
17/08/2022;39.000,00;39.490,00;39.490,00;38.540,00;61,33K;-1,52%
16/08/2022;39.600,00;39.450,00;40.380,00;39.450,00;414,06K;-0,75%
12/08/2022;39.900,00;38.090,00;39.900,00;38.090,00;154,25K;4,75%
11/08/2022;38.090,00;37.800,00;38.090,00;37.600,00;152,71K;1,03%
10/08/2022;37.700,00;37.500,00;38.300,00;37.140,00;153,35K;0,53%
9/08/2022;37.500,00;37.980,00;39.630,00;37.220,00;150,90K;-1,26%
8/08/2022;37.980,00;36.650,00;37.980,00;36.650,00;127,27K;2,65%
5/08/2022;37.000,00;36.380,00;37.000,00;35.830,00;54,19K;0,82%
4/08/2022;36.700,00;35.400,00;36.700,00;35.000,00;406,96K;5,22%
3/08/2022;34.880,00;34.800,00;35.690,00;34.550,00;176,17K;0,26%
2/08/2022;34.790,00;34.990,00;35.200,00;34.500,00;232,11K;0,00%
1/08/2022;34.790,00;35.030,00;35.030,00;34.420,00;137,31K;-3,33%
29/07/2022;35.990,00;37.660,00;37.660,00;35.990,00;161,31K;-5,29%
28/07/2022;38.000,00;35.780,00;38.000,00;35.750,00;76,24K;5,88%
27/07/2022;35.890,00;35.900,00;35.900,00;35.500,00;34,86K;0,59%
26/07/2022;35.680,00;35.250,00;35.680,00;34.600,00;27,36K;3,36%
25/07/2022;34.520,00;35.000,00;35.350,00;34.520,00;35,37K;-2,29%
22/07/2022;35.330,00;35.500,00;35.500,00;35.000,00;313,39K;0,94%
21/07/2022;35.000,00;34.620,00;35.000,00;34.280,00;135,31K;0,00%
19/07/2022;35.000,00;34.100,00;35.000,00;34.000,00;140,71K;1,45%
18/07/2022;34.500,00;32.000,00;34.600,00;32.000,00;87,67K;3,36%
15/07/2022;33.380,00;33.030,00;33.380,00;31.910,00;112,73K;1,15%
14/07/2022;33.000,00;33.680,00;33.680,00;31.600,00;189,36K;-1,87%
13/07/2022;33.630,00;35.000,00;35.100,00;33.630,00;53,80K;-4,73%
12/07/2022;35.300,00;35.270,00;35.700,00;34.640,00;157,86K;0,89%
11/07/2022;34.990,00;35.000,00;35.500,00;34.600,00;127,83K;-1,41%
8/07/2022;35.490,00;35.500,00;35.680,00;34.610,00;41,24K;0,60%
7/07/2022;35.280,00;35.110,00;35.330,00;34.510,00;84,95K;0,80%
6/07/2022;35.000,00;35.000,00;35.710,00;34.500,00;401,93K;0,00%
5/07/2022;35.000,00;34.300,00;35.330,00;34.000,00;503,84K;2,64%
1/07/2022;34.100,00;34.650,00;34.650,00;33.740,00;742,29K;1,67%
30/06/2022;33.540,00;35.690,00;35.690,00;33.540,00;679,07K;-4,31%
29/06/2022;35.050,00;36.400,00;36.400,00;34.990,00;934,79K;-3,71%
28/06/2022;36.400,00;37.000,00;37.480,00;36.320,00;192,87K;-1,62%
24/06/2022;37.000,00;37.400,00;37.690,00;37.000,00;358,51K;0,00%
23/06/2022;37.000,00;37.700,00;37.940,00;36.900,00;189,28K;-2,12%
22/06/2022;37.800,00;39.500,00;39.500,00;37.800,00;179,82K;-1,82%
21/06/2022;38.500,00;39.000,00;39.000,00;36.780,00;97,57K;-2,78%
17/06/2022;39.600,00;40.000,00;40.900,00;39.600,00;1,06M;-2,22%
16/06/2022;40.500,00;40.890,00;41.130,00;40.080,00;99,77K;-1,03%
15/06/2022;40.920,00;41.900,00;42.400,00;40.920,00;146,85K;-2,34%
14/06/2022;41.900,00;41.250,00;41.900,00;40.000,00;144,38K;4,23%
13/06/2022;40.200,00;41.800,00;43.170,00;40.200,00;102,91K;-7,59%
10/06/2022;43.500,00;42.430,00;43.500,00;42.310,00;193,30K;1,99%
9/06/2022;42.650,00;42.200,00;42.730,00;42.190,00;110,67K;0,88%
8/06/2022;42.280,00;42.790,00;42.790,00;41.910,00;140,68K;-1,21%
7/06/2022;42.800,00;44.000,00;44.000,00;42.800,00;126,82K;-2,73%
6/06/2022;44.000,00;43.480,00;44.000,00;43.200,00;170,32K;2,11%
3/06/2022;43.090,00;44.000,00;44.000,00;43.090,00;63,44K;-1,69%
2/06/2022;43.830,00;44.360,00;44.400,00;43.640,00;113,91K;0,67%
1/06/2022;43.540,00;45.290,00;45.600,00;43.540,00;312,72K;-3,93%
31/05/2022;45.320,00;43.950,00;45.700,00;43.950,00;3,87M;3,12%
27/05/2022;43.950,00;41.110,00;44.000,00;41.110,00;337,87K;4,67%
26/05/2022;41.990,00;41.440,00;42.420,00;41.440,00;224,72K;1,94%
25/05/2022;41.190,00;40.970,00;42.190,00;40.970,00;237,53K;0,66%
24/05/2022;40.920,00;39.470,00;40.920,00;39.140,00;277,27K;3,81%
23/05/2022;39.420,00;39.190,00;39.420,00;38.700,00;264,74K;2,39%
20/05/2022;38.500,00;36.290,00;38.500,00;36.000,00;604,12K;10,00%
19/05/2022;35.000,00;37.320,00;37.330,00;35.000,00;664,24K;-6,17%
18/05/2022;37.300,00;38.630,00;38.630,00;37.270,00;331,87K;-3,44%
17/05/2022;38.630,00;38.330,00;39.180,00;38.330,00;186,28K;0,78%
16/05/2022;38.330,00;39.590,00;39.840,00;38.330,00;324,33K;-2,12%
13/05/2022;39.160,00;39.730,00;39.960,00;39.010,00;455,83K;0,33%
12/05/2022;39.030,00;39.600,00;39.740,00;39.000,00;1,23M;-0,18%
11/05/2022;39.100,00;39.500,00;40.100,00;39.100,00;339,28K;-1,01%
10/05/2022;39.500,00;39.010,00;40.090,00;39.010,00;344,69K;0,89%
9/05/2022;39.150,00;40.900,00;40.900,00;39.110,00;77,52K;-1,63%
6/05/2022;39.800,00;41.340,00;41.500,00;39.800,00;187,46K;-3,73%
5/05/2022;41.340,00;41.810,00;42.100,00;41.340,00;142,20K;-1,81%
4/05/2022;42.100,00;41.160,00;42.420,00;41.000,00;119,43K;2,31%
2/05/2022;41.150,00;42.480,00;42.480,00;40.500,00;132,29K;6,00%
29/04/2022;38.820,00;42.490,00;42.560,00;38.820,00;74,98K;-7,57%
28/04/2022;42.000,00;42.780,00;43.400,00;41.490,00;89,15K;0,24%
27/04/2022;41.900,00;41.420,00;42.400,00;41.300,00;83,58K;2,44%
26/04/2022;40.900,00;41.170,00;42.220,00;40.900,00;361,11K;-0,24%
25/04/2022;41.000,00;42.550,00;42.550,00;41.000,00;322,53K;-5,31%
22/04/2022;43.300,00;44.000,00;44.500,00;43.000,00;358,64K;0,70%
21/04/2022;43.000,00;43.400,00;44.320,00;43.000,00;183,63K;-3,37%
20/04/2022;44.500,00;43.360,00;44.500,00;42.950,00;222,83K;3,49%
19/04/2022;43.000,00;43.690,00;43.690,00;42.700,00;231,19K;-0,58%
18/04/2022;43.250,00;43.700,00;43.800,00;43.250,00;75,38K;-1,03%
13/04/2022;43.700,00;43.590,00;43.700,00;42.820,00;207,92K;2,13%
12/04/2022;42.790,00;43.800,00;44.000,00;42.790,00;192,36K;-2,31%
11/04/2022;43.800,00;42.550,00;43.800,00;42.550,00;63,57K;2,94%
8/04/2022;42.550,00;43.800,00;43.800,00;42.550,00;264,28K;-2,85%
7/04/2022;43.800,00;43.700,00;43.800,00;42.510,00;242,78K;0,97%
6/04/2022;43.380,00;43.800,00;43.800,00;42.740,00;219,76K;-0,96%
5/04/2022;43.800,00;43.420,00;44.000,00;42.540,00;26,10K;0,92%
4/04/2022;43.400,00;43.300,00;43.600,00;43.300,00;54,84K;-0,48%
1/04/2022;43.610,00;42.480,00;43.680,00;42.480,00;213,17K;0,53%
31/03/2022;43.380,00;42.070,00;43.380,00;42.000,00;161,60K;3,78%
30/03/2022;41.800,00;42.360,00;42.360,00;41.600,00;135,93K;-1,32%
29/03/2022;42.360,00;42.000,00;42.370,00;42.000,00;97,57K;0,14%
28/03/2022;42.300,00;41.000,00;42.300,00;41.000,00;95,47K;0,14%
25/03/2022;42.240,00;41.920,00;42.350,00;41.800,00;289,98K;0,81%
24/03/2022;41.900,00;41.990,00;41.990,00;41.530,00;186,12K;0,96%
23/03/2022;41.500,00;40.380,00;41.500,00;40.380,00;409,72K;3,23%
22/03/2022;40.200,00;39.700,00;40.350,00;39.700,00;398,53K;1,34%
18/03/2022;39.670,00;38.250,00;39.700,00;38.250,00;1,17M;1,46%
17/03/2022;39.100,00;38.970,00;39.350,00;38.910,00;170,80K;0,64%
16/03/2022;38.850,00;38.110,00;38.850,00;38.100,00;166,89K;1,70%
15/03/2022;38.200,00;38.620,00;38.750,00;38.200,00;84,67K;-0,29%
14/03/2022;38.310,00;38.360,00;39.180,00;38.250,00;156,75K;-2,22%
11/03/2022;39.180,00;39.510,00;39.510,00;38.850,00;111,43K;-0,31%
10/03/2022;39.300,00;39.080,00;39.400,00;38.620,00;199,16K;0,56%
9/03/2022;39.080,00;39.000,00;39.700,00;38.940,00;139,84K;0,21%
8/03/2022;39.000,00;39.500,00;39.950,00;39.000,00;66,71K;-1,52%
7/03/2022;39.600,00;40.000,00;40.000,00;39.480,00;120,24K;-1,00%
4/03/2022;40.000,00;40.200,00;40.200,00;39.460,00;191,93K;0,03%
3/03/2022;39.990,00;40.000,00;40.340,00;39.570,00;312,98K;0,35%
2/03/2022;39.850,00;39.940,00;40.500,00;39.530,00;99,60K;-0,10%
1/03/2022;39.890,00;39.040,00;39.950,00;39.040,00;326,17K;2,18%
28/02/2022;39.040,00;39.500,00;40.300,00;39.040,00;386,00K;-0,51%
25/02/2022;39.240,00;38.990,00;39.470,00;38.600,00;454,29K;0,64%
24/02/2022;38.990,00;38.300,00;38.990,00;37.100,00;309,99K;1,09%
23/02/2022;38.570,00;38.000,00;38.680,00;37.860,00;586,07K;4,53%
22/02/2022;36.900,00;37.760,00;37.760,00;36.900,00;89,90K;-1,05%
21/02/2022;37.290,00;37.060,00;37.680,00;36.890,00;33,00K;0,62%
18/02/2022;37.060,00;37.900,00;37.990,00;36.600,00;129,82K;-2,27%
17/02/2022;37.920,00;37.400,00;37.920,00;37.270,00;125,90K;-0,52%
16/02/2022;38.120,00;37.940,00;38.700,00;37.900,00;258,56K;0,34%
15/02/2022;37.990,00;36.700,00;37.990,00;36.010,00;203,62K;1,31%
14/02/2022;37.500,00;36.010,00;37.690,00;36.010,00;273,69K;2,18%
11/02/2022;36.700,00;36.700,00;36.880,00;36.250,00;382,61K;0,88%
10/02/2022;36.380,00;37.970,00;38.050,00;36.330,00;324,36K;-4,19%
9/02/2022;37.970,00;37.840,00;38.250,00;37.500,00;82,71K;0,37%
8/02/2022;37.830,00;38.910,00;39.110,00;37.780,00;89,72K;-2,75%
7/02/2022;38.900,00;39.260,00;40.000,00;38.900,00;105,20K;-0,23%
4/02/2022;38.990,00;39.000,00;39.220,00;38.850,00;145,50K;-0,03%
3/02/2022;39.000,00;38.750,00;39.100,00;36.340,00;133,89K;-0,51%
2/02/2022;39.200,00;39.020,00;39.470,00;38.900,00;373,65K;0,49%
1/02/2022;39.010,00;40.190,00;40.190,00;38.800,00;163,99K;-1,24%
31/01/2022;39.500,00;40.500,00;40.630,00;39.500,00;145,05K;-0,28%
28/01/2022;39.610,00;39.630,00;40.200,00;39.020,00;163,92K;1,30%
27/01/2022;39.100,00;39.500,00;39.500,00;38.900,00;75,39K;0,26%
26/01/2022;39.000,00;39.990,00;40.490,00;39.000,00;72,98K;-2,01%
25/01/2022;39.800,00;39.980,00;39.990,00;39.100,00;249,52K;-0,50%
24/01/2022;40.000,00;37.800,00;40.000,00;37.770,00;106,70K;2,96%
21/01/2022;38.850,00;40.200,00;40.200,00;38.820,00;530,93K;-3,60%
20/01/2022;40.300,00;42.000,00;42.000,00;40.080,00;129,71K;-4,50%
19/01/2022;42.200,00;42.000,00;42.820,00;41.030,00;1,03M;0,36%
18/01/2022;42.050,00;38.900,00;42.500,00;38.600,00;1,77M;9,76%
17/01/2022;38.310,00;37.000,00;38.810,00;37.000,00;930,25K;5,02%
14/01/2022;36.480,00;36.670,00;37.400,00;36.000,00;950,32K;-2,98%
13/01/2022;37.600,00;35.380,00;37.880,00;35.300,00;494,87K;6,27%
12/01/2022;35.380,00;34.850,00;35.380,00;34.850,00;288,54K;1,67%
11/01/2022;34.800,00;33.080,00;34.800,00;33.080,00;133,63K;1,75%
7/01/2022;34.200,00;33.860,00;34.200,00;33.500,00;25,32K;1,00%
6/01/2022;33.860,00;32.870,00;33.860,00;31.800,00;53,67K;-0,41%
5/01/2022;34.000,00;34.800,00;34.800,00;33.810,00;31,62K;-2,41%
4/01/2022;34.840,00;34.490,00;34.840,00;34.490,00;34,99K;0,99%
3/01/2022;34.500,00;34.600,00;34.600,00;34.000,00;8,35K;-0,58%
30/12/2021;34.700,00;34.700,00;34.700,00;33.980,00;44,95K;0,00%
29/12/2021;34.700,00;33.300,00;34.700,00;32.700,00;46,85K;4,24%
28/12/2021;33.290,00;32.960,00;33.290,00;32.790,00;34,65K;1,00%
